Image,Retina,Non-retina,RPE,lens,Total area,Unscrambled,treatment,well,plate,top_oligo,perc_retina,perc_non-retina,perc_rpe,perc_lens
d60_XY236_CH4,1606491.57,0,147746.1,0,1754237.67,d60_XY76_CH4,SU5402:CHIR,G4,PLATE1,SU5402:CHIR.G4.PLATE1,0.9157776038,0,0.08422239616,0
d60_XY127_CH4,1054803.75,174081.165,63406.45,40053.278,1332344.64,d60_XY77_CH4,SU5402:CHIR,G5,PLATE1,SU5402:CHIR.G5.PLATE1,0.7916898664,0.1306577591,0.04759012653,0.03006225026
d60_XY697_CH4,69615.899,731299.493,23899.81,0,824815.197,d60_XY78_CH4,SU5402:CHIR,G6,PLATE1,SU5402:CHIR.G6.PLATE1,0.08440181419,0.8866222345,0.02897595739,0
d60_XY718_CH4,824043.524,504721.698,199705.2,0,1528470.44,d60_XY79_CH4,SU5402:CHIR,G7,PLATE1,SU5402:CHIR.G7.PLATE1,0.539129513,0.3302135814,0.1306568938,0
d60_XY983_CH4,1307169.41,1202108.01,25410.08,0,2534687.5,d60_XY80_CH4,SU5402:CHIR,G8,PLATE1,SU5402:CHIR.G8.PLATE1,0.5157122564,0.4742628075,0.01002493601,0
d60_XY913_CH4,631977.871,190129.122,12842.84,0,834949.831,d60_XY81_CH4,SU5402:CHIR,G9,PLATE1,SU5402:CHIR.G9.PLATE1,0.7569052026,0.2277132289,0.01538157087,0
d60_XY717_CH4,402012.065,492569.69,311248.7,45760.189,1251590.6,d60_XY82_CH4,SU5402:CHIR,G10,PLATE1,SU5402:CHIR.G10.PLATE1,0.3212009302,0.3935549612,0.2486825165,0.03656162726
d60_XY442_CH4,853841.035,334883.549,20709.8,0,1209434.38,d60_XY83_CH4,SU5402:CHIR,G11,PLATE1,SU5402:CHIR.G11.PLATE1,0.7059837633,0.2768926984,0.01712354167,0
d60_XY641_CH4,566642.918,853469.975,137129.9,56758.362,1614001.16,d60_XY84_CH4,SU5402:CHIR,G12,PLATE1,SU5402:CHIR.G12.PLATE1,0.3510796225,0.528791426,0.08496270226,0.0351662461
d60_XY875_CH4,944398.738,1206708.65,62476.09,0,2213583.48,d60_XY85_CH4,SU5402:CHIR,H1,PLATE1,SU5402:CHIR.H1.PLATE1,0.426637959,0.5451380808,0.02822395928,0
d60_XY266_CH4,1182879.08,0,3498.855,0,1186377.94,d60_XY86_CH4,SU5402:CHIR,H2,PLATE1,SU5402:CHIR.H2.PLATE1,0.9970508049,0,0.002949190879,0
d60_XY253_CH4,782825.806,228223.517,23319.46,0,1034368.78,d60_XY87_CH4,SU5402:CHIR,H3,PLATE1,SU5402:CHIR.H3.PLATE1,0.7568149978,0.2206403764,0.02254462862,0
d60_XY130_CH4,528503.226,198648.075,20352.55,205053.902,952557.752,d60_XY88_CH4,SU5402:CHIR,H4,PLATE1,SU5402:CHIR.H4.PLATE1,0.5548253897,0.2085417651,0.02136621109,0.2152666351
d60_XY929_CH4,554935.541,561682.165,47108.78,0,1163726.49,d60_XY89_CH4,SU5402:CHIR,H5,PLATE1,SU5402:CHIR.H5.PLATE1,0.4768607966,0.4826582275,0.04048097247,0
d60_XY463_CH4,453859.519,404262.477,0,0,858121.996,d60_XY90_CH4,SU5402:CHIR,H6,PLATE1,SU5402:CHIR.H6.PLATE1,0.5288985961,0.4711014039,0,0
d60_XY652_CH4,468669.885,301724.015,0,0,770393.9,d60_XY91_CH4,SU5402:CHIR,H7,PLATE1,SU5402:CHIR.H7.PLATE1,0.6083509812,0.3916490188,0,0
d60_XY543_CH4,707954.557,287113.679,22790.07,0,1017858.3,d60_XY92_CH4,SU5402:CHIR,H8,PLATE1,SU5402:CHIR.H8.PLATE1,0.6955335109,0.2820762762,0.02239021876,0
d60_XY331_CH4,1347948.24,823408.503,124428.8,80362.292,2376147.87,d60_XY93_CH4,SU5402:CHIR,H9,PLATE1,SU5402:CHIR.H9.PLATE1,0.5672829781,0.346530834,0.05236576459,0.03382040866
d60_XY210_CH4,1708392.92,0,136871.2,0,1845264.1,d60_XY94_CH4,SU5402:CHIR,H10,PLATE1,SU5402:CHIR.H10.PLATE1,0.9258256962,0,0.07417431467,0
d60_XY280_CH4,1077329.03,503164.62,74809.57,0,1655303.23,d60_XY95_CH4,SU5402:CHIR,H11,PLATE1,SU5402:CHIR.H11.PLATE1,0.6508348504,0.3039712669,0.04519387665,0
d60_XY945_CH4,591612.041,660643.673,12148.33,0,1264404.05,d60_XY96_CH4,SU5402:CHIR,H12,PLATE1,SU5402:CHIR.H12.PLATE1,0.4678979326,0.5224941133,0.009607949294,0
